Airport,Airport_Name,Region,NCT_KS,NCT_p_value,Burr_KS,Burr_p_value,NCT_better,Sample_Size
EGLL,London Heathrow,Europe,0.0073,0.0,0.0054083755681249,9.497963165928149e-13,False,484981
LFPG,Paris CDG,Europe,0.0026,0.001,0.0043039704346248,5.21585073630109e-07,True,409104
EHAM,Amsterdam Schiphol,Europe,0.0042,0.0,0.0032967182677089,0.0001001812743773,False,455426
EDDF,Frankfurt,Europe,0.0062,0.0,0.0111404957147134,4.950402379553849e-34,True,311706
LEMD,Madrid Barajas,Europe,0.0034,0.0,0.0043914476966787,9.140693806227389e-06,True,318721
LEBL,Barcelona,Europe,0.004,0.0,0.0046379912986343,4.106126559406719e-05,True,250813
EDDM,Munich,Europe,0.0054,0.0,0.0137948132464619,3.8603872324154254e-41,True,246287
EGKK,London Gatwick,Europe,0.0043,0.0,0.0047545721189617,3.96282300094602e-05,True,239448
LIRF,Rome Fiumicino,Europe,0.0051,0.0,0.0092476624043378,8.032398945917189e-12,True,153381
EIDW,Dublin,Europe,0.0063,0.0,0.0072788552997306,1.2390942184220118e-06,True,134851
LATI,Tirana,Balkans,0.0043,0.5152,0.0177071831563012,1.1043823437238089e-06,True,22958
LQSA,Sarajevo,Balkans,0.0048,0.894,0.0090837472641953,0.4136611323160637,True,9457
LBSF,Sofia,Balkans,0.0047,0.1018,0.0084261571232048,0.016477939382892,True,33755
LBBG,Burgas,Balkans,0.0041,0.8344,0.0117863551702763,0.1070864481252915,True,10507
LDZA,Zagreb,Balkans,0.003,0.7478,0.0075615461846929,0.0691918989682697,True,29373
LDSP,Split,Balkans,0.003,0.9533,0.0064272545273396,0.4121809620512695,True,18956
LDDU,Dubrovnik,Balkans,0.0041,0.8349,0.0063248289086317,0.6624030829288066,True,13236
BKPR,Pristina,Balkans,0.0072,0.2212,0.0108078951940961,0.0936599529213652,True,13072
LYTV,Tivat,Balkans,0.007,0.5131,0.0128391461944981,0.1393527067317642,True,8053
LWSK,Skopje,Balkans,0.0065,0.3397,0.0199561852411647,0.0002293734409818,True,11374
